x_m,h_m
0.050,0.0088
0.126,0.0003
0.191,0.0023
0.210,0.0061
0.231,0.0087
0.252,0.0083
0.271,0.0106
0.291,0.0120
0.310,0.0159
0.330,0.0248
0.341,0.0044
0.349,0.0289
0.364,0.0050
0.370,0.0326
0.378,0.0046
0.390,0.0353
0.410,0.0390
0.450,0.0464
0.470,0.0504
0.480,0.0523
