l_over_L,Heq_over_Hc
0.002,0.127
0.002,0.095
0.002,0.033
0.003,0.063
0.005,0.225
0.008,0.158
0.009,0.257
0.016,0.291
0.018,0.322
0.026,0.355
0.029,0.387
0.035,0.418
0.045,0.452
0.053,0.484
0.062,0.516
0.072,0.548
0.083,0.581
0.092,0.612
0.105,0.643
0.122,0.676
0.142,0.709
0.158,0.742
0.179,0.773
0.203,0.806
0.229,0.837
0.255,0.869
0.293,0.901
0.333,0.934
0.388,0.967
0.395,0.936
0.472,0.958
0.585,0.980
0.674,0.978
0.758,0.978
0.849,0.978
