t_s,l_m
32325,2.9276
32405,2.9518
32486,2.9729
32566,2.9940
32647,2.9970
32727,2.9970
32808,2.9970
32888,2.9970
32969,2.9970
33049,2.9970
33130,2.9970
33211,2.9970
33291,2.9970
33372,2.9970
33452,2.9970
33533,2.9970
33613,2.9970
33694,2.9970
33774,2.9970
33855,2.9970
33935,2.9970
34016,2.9970
34097,2.9970
34177,2.9970
34258,2.9970
34338,2.9970
34419,2.9970
34499,2.9970
34580,2.9970
34660,2.9970
34741,2.9970
34821,2.9970
34902,2.9970
34982,2.9970
35063,2.9970
35144,2.9970
35224,2.9970
35305,2.9970
35385,2.9970
35466,2.9970
35546,2.9970
35627,2.9970
35707,2.9970
35788,2.9970
35842,2.9970
