t_h,xtip_m
3.41,1.45
3.58,1.50
3.75,1.59
3.93,1.62
4.10,1.62
4.27,1.63
4.45,1.68
4.62,1.70
4.79,1.73
4.97,1.73
5.14,1.73
5.31,1.77
5.49,1.82
5.66,1.88
5.83,1.90
6.01,1.93
6.18,1.93
6.35,1.93
6.53,1.97
6.70,2.02
6.87,2.05
7.05,2.08
7.22,2.08
7.39,2.12
7.57,2.16
7.74,2.17
7.91,2.17
8.09,2.17
8.26,2.20
8.43,2.24
8.61,2.31
8.78,2.32
8.95,2.37
9.13,2.41
9.30,2.43
9.47,2.44
9.65,2.47
9.82,2.47
9.99,2.47
10.17,2.47
10.34,2.47
10.51,2.47
10.69,2.47
10.86,2.47
11.03,2.47
11.21,2.47
11.38,2.47
11.55,2.48
11.73,2.53
11.90,2.59
12.07,2.62
12.25,2.66
12.42,2.71
12.59,2.71
12.77,2.71
12.94,2.70
13.11,2.71
13.29,2.74
13.46,2.75
13.63,2.77
13.81,2.77
13.98,2.82
14.15,2.86
14.32,2.86
14.50,2.86
14.67,2.86
14.84,2.90
15.02,2.92
15.19,2.95
15.36,2.95
15.54,2.95
15.71,2.95
15.88,2.95
16.06,2.95
16.23,2.95
16.40,2.95
16.58,2.95
16.75,2.99
16.92,3.01
17.10,3.06
17.27,3.06
17.44,3.06
17.62,3.06
17.79,3.06
17.96,3.06
18.14,3.10
18.31,3.16
18.48,3.17
18.66,3.20
18.83,3.25
19.00,3.26
19.18,3.27
19.35,3.31
19.52,3.33
19.70,3.35
19.87,3.35
20.04,3.37
20.22,3.38
20.39,3.41
20.56,3.43
20.74,3.46
20.91,3.50
21.08,3.57
21.26,3.61
21.43,3.62
21.60,3.65
21.78,3.68
21.95,3.71
22.12,3.73
22.30,3.74
22.47,3.79
22.64,3.83
22.82,3.88
22.99,3.90
23.16,3.93
23.34,3.98
23.51,4.04
23.68,4.04
23.86,4.06
24.03,4.08
24.20,4.09
24.38,4.09
24.55,4.09
24.72,4.09
24.90,4.09
25.07,4.12
25.24,4.16
25.42,4.19
25.59,4.22
25.76,4.27
25.94,4.29
26.11,4.35
26.28,4.42
26.45,4.44
26.63,4.44
26.80,4.44
26.97,4.47
27.15,4.53
27.32,4.60
27.49,4.64
27.67,4.67
27.84,4.70
28.01,4.78
28.19,4.83
28.36,4.88
28.53,4.92
28.71,4.93
28.88,4.96
29.05,4.97
29.23,4.98
29.40,5.02
29.57,5.06
30.27,5.26
30.44,5.30
30.61,5.36
30.79,5.39
30.96,5.42
31.13,5.46
31.31,5.50
31.48,5.54
31.65,5.60
31.83,5.67
32.00,5.76
32.17,5.81
32.35,5.87
32.52,5.92
32.69,5.96
32.92,6.07
33.21,6.17
33.39,6.23
33.56,6.27
33.73,6.33
33.91,6.38
34.08,6.47
34.25,6.50
34.43,6.56
34.60,6.66
34.77,6.75
34.95,6.83
35.12,6.91
35.35,6.99
35.52,7.05
36.10,7.11
36.33,7.42
36.51,7.57
36.74,7.67
37.26,7.79
37.43,8.41
