knob,arm,section,branch,stage_m_msl,above_attainable_max,p_f_baseline,p_f_arm,ratio_arm_to_baseline,anchor,p_f_trans_baseline_at_stage
m_p,m_p,KP60.0,static,42.5,False,0.21866,0.25158,1.150553,,0.02461
m_p,m_p,KP60.0,static,42.75,False,0.35345,0.37831,1.070335,design_hwl,0.05579
m_p,m_p,KP60.0,static,43.0,False,0.49512,0.50702,1.024035,,0.10399
m_p,m_p,KP60.0,static,43.25,False,0.62617,0.62345,0.995656,,0.16841
m_p,m_p,KP60.0,static,43.5,False,0.73742,0.72225,0.979428,,0.24694
m_p,m_p,KP60.0,static,43.75,False,0.82276,0.80296,0.975935,,0.33185
m_p,m_p,KP60.0,static,44.0,False,0.88454,0.86379,0.976541,,0.41704
m_p,m_p,KP60.0,static,44.25,False,0.92732,0.90852,0.979727,transition_midpoint,0.50062
m_p,m_p,KP60.0,static,44.5,False,0.95581,0.93907,0.982486,,0.57888
m_p,m_p,KP60.0,static,44.75,False,0.97311,0.96023,0.986764,,0.64824
m_p,m_p,KP60.0,static,45.0,False,0.98389,0.97397,0.989918,,0.70676
m_p,m_p,KP60.0,static,45.25,False,0.99081,0.98327,0.99239,,0.76034
m_p,m_p,KP60.0,static,45.5,False,0.9947,0.98939,0.994662,,0.80425
m_p,m_p,KP60.0,static,45.75,False,0.99697,0.99343,0.996449,,0.84168
m_p,m_p,KP60.0,static,46.0,False,0.99801,0.99583,0.997816,,0.87096
m_p,m_p,KP60.0,static,46.25,False,0.9989,0.99753,0.998628,,0.89537
m_p,m_p,KP60.0,static,46.5,False,0.99939,0.99842,0.999029,,0.91487
m_p,m_p,KP60.0,static,46.75,False,0.99963,0.99902,0.99939,grid_top,0.93074
m_p,m_p,KP62.0,static,41.75,False,0.0,0.0,,,0.0
m_p,m_p,KP62.0,static,43.25,False,0.0,0.0,,,0.0
m_p,m_p,KP62.0,static,44.5,False,0.0,0.0,,,0.0
m_p,m_p,KP62.0,static,45.0,False,0.0,0.0,,,0.0
m_p,m_p,KP62.0,static,45.25,False,0.0,0.0,,,0.0
m_p,m_p,KP62.0,static,45.5,False,0.0,0.0,,,0.0
m_p,m_p,KP62.0,static,45.75,False,0.0,0.0,,,0.0
m_p,m_p,KP62.0,static,46.0,False,1e-05,5e-05,5.0,,0.0
m_p,m_p,KP62.0,static,46.25,False,0.00029,0.00111,3.827586,lowest_reachable,1e-05
m_p,m_p,KP62.0,static,46.5,False,0.00283,0.00631,2.229682,design_hwl,0.00013
m_p,m_p,KP62.0,static,46.75,False,0.01349,0.02377,1.762046,rising_limb,0.00101
m_p,m_p,KP62.0,static,47.0,False,0.0414,0.06071,1.466425,,0.00411
m_p,m_p,KP62.0,static,47.25,False,0.09591,0.12171,1.269002,,0.01198
m_p,m_p,KP62.0,static,47.5,False,0.17728,0.20581,1.160932,,0.0276
m_p,m_p,KP62.0,static,47.75,False,0.282,0.30806,1.092411,,0.0539
m_p,m_p,KP62.0,static,48.0,False,0.39843,0.41787,1.048792,,0.08951
m_p,m_p,KP62.0,static,48.25,False,0.51501,0.52264,1.014815,,0.13527
m_p,m_p,KP62.0,static,48.5,False,0.61954,0.61864,0.998547,,0.191
m_p,m_p,KP62.0,static,48.75,False,0.71255,0.70277,0.986275,,0.2532
m_p,m_p,KP62.0,static,49.0,False,0.78691,0.77314,0.982501,,0.31654
m_p,m_p,KP62.0,static,49.25,False,0.84636,0.82995,0.980611,,0.3823
m_p,m_p,KP62.0,static,49.5,False,0.89132,0.87507,0.981769,,0.4464
m_p,m_p,KP62.0,static,49.75,False,0.92541,0.90862,0.981857,transition_midpoint,0.50765
m_p,m_p,KP62.0,static,50.0,False,0.94835,0.93444,0.985332,,0.56586
m_p,m_p,KP62.0,static,50.25,False,0.96479,0.95359,0.988391,,0.61911
m_p,m_p,KP62.0,static,50.5,False,0.97657,0.96667,0.989862,,0.66622
m_p,m_p,KP62.0,static,51.0,True,0.98955,0.98347,0.993856,,0.74869
m_p,m_p,KP62.0,static,51.5,True,0.9957,0.99171,0.995993,,0.81146
m_p,m_p,KP62.0,static,52.0,True,0.99798,0.99613,0.998146,,0.85969
m_p,m_p,KP62.0,static,52.5,True,0.99904,0.99823,0.999189,,0.89624
m_p,m_p,KP62.0,static,53.0,True,0.99961,0.99912,0.99951,,0.92229
m_p,m_p,KP62.0,static,53.5,True,0.99984,0.99953,0.99969,,0.94163
m_p,m_p,KP62.0,static,54.0,True,0.99993,0.99978,0.99985,,0.95577
m_p,m_p,KP62.0,static,54.5,True,0.99999,0.99989,0.9999,,0.96719
m_p,m_p,KP62.0,static,55.0,True,1.0,0.99993,0.99993,,0.9751
m_p,m_p,KP62.0,static,55.5,True,1.0,0.99997,0.99997,,0.98104
m_p,m_p,KP62.0,static,56.0,True,1.0,0.99997,0.99997,,0.98544
m_p,m_p,KP62.0,static,56.5,True,1.0,0.99999,0.99999,grid_top,0.9888
m_p,m_p,KP57.4,transient,34.75,False,0.0,0.0,,,0.0
m_p,m_p,KP57.4,transient,36.5,False,0.0,0.0,,,0.0
m_p,m_p,KP57.4,transient,38.0,False,0.0,0.0,,,0.0
m_p,m_p,KP57.4,transient,38.5,False,0.0,0.0,,,0.0
m_p,m_p,KP57.4,transient,38.75,False,0.0,0.0,,,0.0
m_p,m_p,KP57.4,transient,39.0,False,0.0,0.0,,,0.0
m_p,m_p,KP57.4,transient,39.25,False,0.0,0.0,,design_hwl,0.0
m_p,m_p,KP57.4,transient,39.5,False,0.00014,0.00046,3.285714,lowest_reachable,0.00014
m_p,m_p,KP57.4,transient,39.75,False,0.00295,0.00495,1.677966,rising_limb,0.00295
m_p,m_p,KP57.4,transient,40.0,False,0.01809,0.02484,1.373134,,0.01809
m_p,m_p,KP57.4,transient,40.25,False,0.06005,0.07187,1.196836,,0.06005
m_p,m_p,KP57.4,transient,40.5,False,0.13377,0.14894,1.113404,,0.13377
m_p,m_p,KP57.4,transient,40.75,False,0.2382,0.25179,1.057053,,0.2382
