table,section,d70_interpretation,n_samples,level_m_msl,role,k_static,k_transient,p_static,p_transient,beta_static,beta_static_ci_lo,beta_static_ci_hi,beta_transient,beta_transient_ci_lo,beta_transient_ci_hi,delta_beta,delta_beta_ci_lo,delta_beta_ci_hi,delta_beta_lower_bound,B,resolved,attainable,artifact
production,KP 62.0,bulk,100000,50,,295,118,0.00295,0.00118,2.75329,2.71578,2.79148,3.04074,2.98607,3.09719,0.287449,0.247925,0.333234,0.194584,2.5,true,true,results/tokachi_kp62.0_historical_bulk.h5
production,KP 62.0,bulk,100000,50.25,,523,199,0.00523,0.00199,2.56024,2.53039,2.59046,2.87974,2.83571,2.92481,0.319503,0.286773,0.352547,0.245248,2.62814,true,true,results/tokachi_kp62.0_historical_bulk.h5
production,KP 62.0,bulk,100000,50.5,,825,334,0.00825,0.00334,2.39766,2.37267,2.4229,2.71239,2.67671,2.74867,0.314726,0.28736,0.343921,0.253818,2.47006,true,true,results/tokachi_kp62.0_historical_bulk.h5
production,KP 62.0,bulk,100000,51,,1880,787,0.0188,0.00787,2.07919,2.0608,2.09767,2.41489,2.38943,2.44059,0.3357,0.317435,0.355106,0.291764,2.38882,true,false,results/tokachi_kp62.0_historical_bulk.h5
production,KP 62.0,bulk,100000,51.5,,3798,1640,0.03798,0.0164,1.77462,1.76024,1.78905,2.13452,2.1152,2.15395,0.359899,0.345675,0.373605,0.326156,2.31585,true,false,results/tokachi_kp62.0_historical_bulk.h5
production,KP 62.0,bulk,100000,52,,6740,3042,0.0674,0.03042,1.49544,1.48349,1.5074,1.87466,1.85915,1.89022,0.379218,0.366921,0.390746,0.351744,2.21565,true,false,results/tokachi_kp62.0_historical_bulk.h5
production,KP 62.0,bulk,100000,52.5,,10785,5175,0.10785,0.05175,1.23804,1.22765,1.24845,1.62812,1.61513,1.64113,0.390074,0.380092,0.400219,0.366686,2.08406,true,false,results/tokachi_kp62.0_historical_bulk.h5
production,KP 62.0,bulk,100000,53,,15894,8001,0.15894,0.08001,0.998824,0.989452,1.0082,1.405,1.39367,1.41636,0.40618,0.397611,0.414765,0.385467,1.9865,true,false,results/tokachi_kp62.0_historical_bulk.h5
production,KP 62.0,bulk,100000,53.5,,21925,11415,0.21925,0.11415,0.774729,0.766036,0.783425,1.20475,1.19452,1.21499,0.430021,0.422526,0.437775,0.411096,1.92072,true,false,results/tokachi_kp62.0_historical_bulk.h5
production,KP 62.0,bulk,100000,54,,28817,15637,0.28817,0.15637,0.558739,0.5505,0.566979,1.00949,1.00008,1.01891,0.450751,0.443601,0.457228,0.4331,1.84287,true,false,results/tokachi_kp62.0_historical_bulk.h5
production,KP 62.0,bulk,100000,54.5,,36204,20525,0.36204,0.20525,0.353011,0.345052,0.360972,0.823014,0.814194,0.831838,0.470003,0.4629,0.476696,0.453223,1.7639,true,false,results/tokachi_kp62.0_historical_bulk.h5
production,KP 62.0,bulk,100000,55,,43480,25734,0.4348,0.25734,0.164167,0.156348,0.171986,0.651568,0.643156,0.659983,0.487401,0.480717,0.494326,0.47117,1.68959,true,false,results/tokachi_kp62.0_historical_bulk.h5
production,KP 62.0,bulk,100000,55.5,,50840,31378,0.5084,0.31378,-0.0210572,-0.0288384,-0.0132761,0.485164,0.477041,0.493288,0.506221,0.499664,0.512604,0.490317,1.62024,true,false,results/tokachi_kp62.0_historical_bulk.h5
production,KP 62.0,bulk,100000,56,,57711,36953,0.57711,0.36953,-0.194506,-0.20234,-0.186672,0.333098,0.325159,0.341039,0.527604,0.521152,0.534055,0.511831,1.56174,true,false,results/tokachi_kp62.0_historical_bulk.h5
production,KP 62.0,bulk,100000,56.5,,63927,42648,0.63927,0.42648,-0.356508,-0.364472,-0.348545,0.185343,0.177514,0.193173,0.541851,0.535538,0.548336,0.526059,1.49894,true,false,results/tokachi_kp62.0_historical_bulk.h5
ladder_total,KP 62.0,matrix,1000000,46.39,C0_to_C4b,1696,63,,,2.92978,2.91497,2.94471,3.83415,3.77314,3.89842,0.904367,0.84652,0.965546,0.82843,,true,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
ladder_step,KP 62.0,matrix,1000000,46.39,head_convention,1696,506,,,2.92978,,,3.28717,,,0.357387,0.33684,0.377674,,,,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
ladder_step,KP 62.0,matrix,1000000,46.39,initiation_gate,506,506,,,3.28717,,,3.28717,,,0,0,0,,,,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
ladder_step,KP 62.0,matrix,1000000,46.39,temporal,506,63,,,3.28717,,,3.83415,,,0.546979,0.493133,0.604541,,,,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
equal_convention,KP 62.0,matrix,1000000,46.39,C1_to_C4b,506,63,,,3.28717,,,3.83415,,,0.546979,0.493133,0.604541,,,,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
ladder_total,KP 62.0,matrix,1000000,46.5,C0_to_C4b,3793,176,,,2.66996,2.65928,2.6807,3.57368,3.53485,3.61365,0.903718,0.864413,0.945171,0.85415,,true,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
ladder_step,KP 62.0,matrix,1000000,46.5,head_convention,3793,1411,,,2.66996,,,2.98649,,,0.316529,0.30448,0.328898,,,,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
ladder_step,KP 62.0,matrix,1000000,46.5,initiation_gate,1411,1411,,,2.98649,,,2.98649,,,0,0,0,,,,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
ladder_step,KP 62.0,matrix,1000000,46.5,temporal,1411,176,,,2.98649,,,3.57368,,,0.587189,0.551144,0.629499,,,,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
equal_convention,KP 62.0,matrix,1000000,46.5,C1_to_C4b,1411,176,,,2.98649,,,3.57368,,,0.587189,0.551144,0.629499,,,,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
ladder_total,KP 62.0,matrix,1000000,47,C0_to_C4b,52152,4890,,,1.62434,1.62025,1.62843,2.58351,2.57385,2.59321,0.959176,0.950269,0.969066,0.945423,,true,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
ladder_step,KP 62.0,matrix,1000000,47,head_convention,52152,30237,,,1.62434,,,1.87732,,,0.252985,0.249315,0.256429,,,,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
ladder_step,KP 62.0,matrix,1000000,47,initiation_gate,30237,30237,,,1.87732,,,1.87732,,,0,0,0,,,,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
ladder_step,KP 62.0,matrix,1000000,47,temporal,30237,4890,,,1.87732,,,2.58351,,,0.70619,0.697787,0.715556,,,,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
equal_convention,KP 62.0,matrix,1000000,47,C1_to_C4b,30237,4890,,,1.87732,,,2.58351,,,0.70619,0.697787,0.715556,,,,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
ladder_total,KP 62.0,matrix,1000000,48,C0_to_C4b,443698,102004,,,0.1416,0.139133,0.144067,1.27022,1.26688,1.27355,1.12862,1.12538,1.1321,1.12281,,true,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
ladder_step,KP 62.0,matrix,1000000,48,head_convention,443698,377685,,,0.1416,,,0.311566,,,0.169967,0.168711,0.171222,,,,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
ladder_step,KP 62.0,matrix,1000000,48,initiation_gate,377685,377685,,,0.311566,,,0.311566,,,0,0,0,,,,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
ladder_step,KP 62.0,matrix,1000000,48,temporal,377685,102004,,,0.311566,,,1.27022,,,0.958649,0.955532,0.962154,,,,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
equal_convention,KP 62.0,matrix,1000000,48,C1_to_C4b,377685,102004,,,0.311566,,,1.27022,,,0.958649,0.955532,0.962154,,,,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
ladder_total,KP 62.0,matrix,1000000,50.5,C0_to_C4b,984183,689555,,,-2.14901,-2.15519,-2.14283,-0.494589,-0.49716,-0.492019,1.65442,1.64843,1.66088,1.64567,,true,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
ladder_step,KP 62.0,matrix,1000000,50.5,head_convention,984183,979962,,,-2.14901,,,-2.05296,,,0.0960403,0.0932833,0.0990193,,,,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
ladder_step,KP 62.0,matrix,1000000,50.5,initiation_gate,979962,979962,,,-2.05296,,,-2.05296,,,0,0,0,,,,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
ladder_step,KP 62.0,matrix,1000000,50.5,temporal,979962,689555,,,-2.05296,,,-0.494589,,,1.55838,1.55309,1.56442,,,,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
equal_convention,KP 62.0,matrix,1000000,50.5,C1_to_C4b,979962,689555,,,-2.05296,,,-0.494589,,,1.55838,1.55309,1.56442,,,,,results/hwl_bias_resolution/ladder_kp62_0_n1000000.h5
ladder_total,KP 62.0,matrix,100000,46.39,C0_to_C4b,179,4,,,2.91298,2.86699,2.96013,3.9444,3.71299,4.24564,1.03142,,,0.752862,,false,,results/stage6_6/stage6_6_kp62_0.h5
ladder_step,KP 62.0,matrix,100000,46.39,head_convention,179,48,,,2.91298,,,3.30199,,,0.389017,0.33049,0.463029,,,,,results/stage6_6/stage6_6_kp62_0.h5
ladder_step,KP 62.0,matrix,100000,46.39,initiation_gate,48,48,,,3.30199,,,3.30199,,,0,0,0,,,,,results/stage6_6/stage6_6_kp62_0.h5
ladder_step,KP 62.0,matrix,100000,46.39,temporal,48,4,,,3.30199,,,3.9444,,,0.642406,,,,,,,results/stage6_6/stage6_6_kp62_0.h5
equal_convention,KP 62.0,matrix,100000,46.39,C1_to_C4b,48,4,,,3.30199,,,3.9444,,,0.642406,,,,,,,results/stage6_6/stage6_6_kp62_0.h5
ladder_total,KP 62.0,matrix,100000,46.5,C0_to_C4b,393,15,,,2.65803,2.6246,2.69196,3.6153,3.48357,3.76296,0.957275,,,0.791606,,false,,results/stage6_6/stage6_6_kp62_0.h5
ladder_step,KP 62.0,matrix,100000,46.5,head_convention,393,149,,,2.65803,,,2.96979,,,0.311768,0.276674,0.352938,,,,,results/stage6_6/stage6_6_kp62_0.h5
ladder_step,KP 62.0,matrix,100000,46.5,initiation_gate,149,149,,,2.96979,,,2.96979,,,0,0,0,,,,,results/stage6_6/stage6_6_kp62_0.h5
ladder_step,KP 62.0,matrix,100000,46.5,temporal,149,15,,,2.96979,,,3.6153,,,0.645507,,,,,,,results/stage6_6/stage6_6_kp62_0.h5
equal_convention,KP 62.0,matrix,100000,46.5,C1_to_C4b,149,15,,,2.96979,,,3.6153,,,0.645507,,,,,,,results/stage6_6/stage6_6_kp62_0.h5
ladder_total,KP 62.0,matrix,100000,47,C0_to_C4b,5223,499,,,1.62361,1.61066,1.63658,2.57652,2.54612,2.60732,0.952916,0.924872,0.982048,0.909538,,true,,results/stage6_6/stage6_6_kp62_0.h5
ladder_step,KP 62.0,matrix,100000,47,head_convention,5223,3001,,,1.62361,,,1.88065,,,0.257041,0.247304,0.267202,,,,,results/stage6_6/stage6_6_kp62_0.h5
ladder_step,KP 62.0,matrix,100000,47,initiation_gate,3001,3001,,,1.88065,,,1.88065,,,0,0,0,,,,,results/stage6_6/stage6_6_kp62_0.h5
ladder_step,KP 62.0,matrix,100000,47,temporal,3001,499,,,1.88065,,,2.57652,,,0.695875,0.668835,0.724326,,,,,results/stage6_6/stage6_6_kp62_0.h5
equal_convention,KP 62.0,matrix,100000,47,C1_to_C4b,3001,499,,,1.88065,,,2.57652,,,0.695875,0.668835,0.724326,,,,,results/stage6_6/stage6_6_kp62_0.h5
ladder_total,KP 62.0,matrix,100000,48,C0_to_C4b,44347,10127,,,0.142177,0.134368,0.149987,1.27435,1.26377,1.28494,1.13217,1.12192,1.14312,1.11378,,true,,results/stage6_6/stage6_6_kp62_0.h5
ladder_step,KP 62.0,matrix,100000,48,head_convention,44347,37800,,,0.142177,,,0.310738,,,0.16856,0.164476,0.172513,,,,,results/stage6_6/stage6_6_kp62_0.h5
ladder_step,KP 62.0,matrix,100000,48,initiation_gate,37800,37800,,,0.310738,,,0.310738,,,0,0,0,,,,,results/stage6_6/stage6_6_kp62_0.h5
ladder_step,KP 62.0,matrix,100000,48,temporal,37800,10127,,,0.310738,,,1.27435,,,0.963611,0.953896,0.974524,,,,,results/stage6_6/stage6_6_kp62_0.h5
equal_convention,KP 62.0,matrix,100000,48,C1_to_C4b,37800,10127,,,0.310738,,,1.27435,,,0.963611,0.953896,0.974524,,,,,results/stage6_6/stage6_6_kp62_0.h5
ladder_total,KP 62.0,matrix,100000,50.5,C0_to_C4b,98439,68962,,,-2.15426,-2.17405,-2.13458,-0.494774,-0.502912,-0.486637,1.65948,1.64058,1.67912,1.63167,,true,,results/stage6_6/stage6_6_kp62_0.h5
ladder_step,KP 62.0,matrix,100000,50.5,head_convention,98439,98025,,,-2.15426,,,-2.05894,,,0.0953174,0.0870129,0.104066,,,,,results/stage6_6/stage6_6_kp62_0.h5
ladder_step,KP 62.0,matrix,100000,50.5,initiation_gate,98025,98025,,,-2.05894,,,-2.05894,,,0,0,0,,,,,results/stage6_6/stage6_6_kp62_0.h5
ladder_step,KP 62.0,matrix,100000,50.5,temporal,98025,68962,,,-2.05894,,,-0.494774,,,1.56417,1.54682,1.58217,,,,,results/stage6_6/stage6_6_kp62_0.h5
equal_convention,KP 62.0,matrix,100000,50.5,C1_to_C4b,98025,68962,,,-2.05894,,,-0.494774,,,1.56417,1.54682,1.58217,,,,,results/stage6_6/stage6_6_kp62_0.h5
ladder_total,KP 57.4,matrix,1000000,39.21,C0_to_C4b,1132,2,,,3.05322,3.0357,3.07091,4.61138,4.33692,5.03238,1.55816,,,1.26601,,false,,results/hwl_bias_resolution/ladder_kp57_4_n1000000.h5
ladder_step,KP 57.4,matrix,1000000,39.21,head_convention,1132,24,,,3.05322,,,4.06516,,,1.01194,,,,,,,results/hwl_bias_resolution/ladder_kp57_4_n1000000.h5
ladder_step,KP 57.4,matrix,1000000,39.21,initiation_gate,24,11,,,4.06516,,,4.24356,,,0.178404,,,,,,,results/hwl_bias_resolution/ladder_kp57_4_n1000000.h5
ladder_step,KP 57.4,matrix,1000000,39.21,temporal,11,2,,,4.24356,,,4.61138,,,0.367821,,,,,,,results/hwl_bias_resolution/ladder_kp57_4_n1000000.h5
equal_convention,KP 57.4,matrix,1000000,39.21,C1_to_C4b,24,2,,,4.06516,,,4.61138,,,0.546225,,,,,,,results/hwl_bias_resolution/ladder_kp57_4_n1000000.h5
ladder_total,KP 57.4,matrix,1000000,39.5,C0_to_C4b,22249,521,,,2.00937,2.00391,2.01484,3.27893,3.25463,3.30362,1.26956,1.24606,1.29496,1.23979,,true,,results/hwl_bias_resolution/ladder_kp57_4_n1000000.h5
ladder_step,KP 57.4,matrix,1000000,39.5,head_convention,22249,2388,,,2.00937,,,2.82177,,,0.812397,0.800218,0.824796,,,,,results/hwl_bias_resolution/ladder_kp57_4_n1000000.h5
ladder_step,KP 57.4,matrix,1000000,39.5,initiation_gate,2388,1873,,,2.82177,,,2.89879,,,0.0770287,0.0701852,0.0836301,,,,,results/hwl_bias_resolution/ladder_kp57_4_n1000000.h5
ladder_step,KP 57.4,matrix,1000000,39.5,temporal,1873,521,,,2.89879,,,3.27893,,,0.380139,0.36132,0.401486,,,,,results/hwl_bias_resolution/ladder_kp57_4_n1000000.h5
equal_convention,KP 57.4,matrix,1000000,39.5,C1_to_C4b,2388,521,,,2.82177,,,3.27893,,,0.457168,0.437549,0.480115,,,,,results/hwl_bias_resolution/ladder_kp57_4_n1000000.h5
ladder_total,KP 57.4,matrix,1000000,40.5,C0_to_C4b,616530,206238,,,-0.29638,-0.298877,-0.293883,0.819544,0.816762,0.822327,1.11592,1.11311,1.11888,1.11064,,true,,results/hwl_bias_resolution/ladder_kp57_4_n1000000.h5
ladder_step,KP 57.4,matrix,1000000,40.5,head_convention,616530,442509,,,-0.29638,,,0.144611,,,0.440991,0.439148,0.442789,,,,,results/hwl_bias_resolution/ladder_kp57_4_n1000000.h5
ladder_step,KP 57.4,matrix,1000000,40.5,initiation_gate,442509,442209,,,0.144611,,,0.145371,,,0.000759934,0.000676496,0.000853763,,,,,results/hwl_bias_resolution/ladder_kp57_4_n1000000.h5
ladder_step,KP 57.4,matrix,1000000,40.5,temporal,442209,206238,,,0.145371,,,0.819544,,,0.674173,0.671845,0.676687,,,,,results/hwl_bias_resolution/ladder_kp57_4_n1000000.h5
equal_convention,KP 57.4,matrix,1000000,40.5,C1_to_C4b,442509,206238,,,0.144611,,,0.819544,,,0.674933,0.672591,0.677427,,,,,results/hwl_bias_resolution/ladder_kp57_4_n1000000.h5
ladder_total,KP 57.4,matrix,1000000,43.25,C0_to_C4b,999692,963940,,,-3.42447,-3.45557,-3.39401,-1.79836,-1.80298,-1.79374,1.62611,1.59679,1.65837,1.59103,,true,,results/hwl_bias_resolution/ladder_kp57_4_n1000000.h5
ladder_step,KP 57.4,matrix,1000000,43.25,head_convention,999692,999418,,,-3.42447,,,-3.24756,,,0.176912,0.155908,0.19872,,,,,results/hwl_bias_resolution/ladder_kp57_4_n1000000.h5
ladder_step,KP 57.4,matrix,1000000,43.25,initiation_gate,999418,999418,,,-3.24756,,,-3.24756,,,0,0,0,,,,,results/hwl_bias_resolution/ladder_kp57_4_n1000000.h5
ladder_step,KP 57.4,matrix,1000000,43.25,temporal,999418,963940,,,-3.24756,,,-1.79836,,,1.4492,1.42629,1.47457,,,,,results/hwl_bias_resolution/ladder_kp57_4_n1000000.h5
equal_convention,KP 57.4,matrix,1000000,43.25,C1_to_C4b,999418,963940,,,-3.24756,,,-1.79836,,,1.4492,1.42629,1.47457,,,,,results/hwl_bias_resolution/ladder_kp57_4_n1000000.h5
ladder_total,KP 57.4,matrix,100000,39.21,C0_to_C4b,118,0,,,3.04074,2.98607,3.09719,inf,3.96377,inf,inf,,,0.866574,,false,,results/stage6_6/stage6_6_kp57_4.h5
ladder_step,KP 57.4,matrix,100000,39.21,head_convention,118,3,,,3.04074,,,4.01281,,,0.972074,,,,,,,results/stage6_6/stage6_6_kp57_4.h5
ladder_step,KP 57.4,matrix,100000,39.21,initiation_gate,3,0,,,4.01281,,,inf,,,inf,,,,,,,results/stage6_6/stage6_6_kp57_4.h5
ladder_step,KP 57.4,matrix,100000,39.21,temporal,0,0,,,inf,,,inf,,,nan,,,,,,,results/stage6_6/stage6_6_kp57_4.h5
equal_convention,KP 57.4,matrix,100000,39.21,C1_to_C4b,3,0,,,4.01281,,,inf,,,inf,,,,,,,results/stage6_6/stage6_6_kp57_4.h5
ladder_total,KP 57.4,matrix,100000,39.5,C0_to_C4b,2230,62,,,2.00841,1.99111,2.02578,3.22952,3.15783,3.3047,1.22111,1.15843,1.29628,1.13205,,true,,results/stage6_6/stage6_6_kp57_4.h5
ladder_step,KP 57.4,matrix,100000,39.5,head_convention,2230,241,,,2.00841,,,2.81882,,,0.810416,0.772092,0.851078,,,,,results/stage6_6/stage6_6_kp57_4.h5
ladder_step,KP 57.4,matrix,100000,39.5,initiation_gate,241,198,,,2.81882,,,2.88133,,,0.062507,0.0442628,0.0832064,,,,,results/stage6_6/stage6_6_kp57_4.h5
ladder_step,KP 57.4,matrix,100000,39.5,temporal,198,62,,,2.88133,,,3.22952,,,0.348185,0.295492,0.411678,,,,,results/stage6_6/stage6_6_kp57_4.h5
equal_convention,KP 57.4,matrix,100000,39.5,C1_to_C4b,241,62,,,2.81882,,,3.22952,,,0.410692,0.356856,0.474524,,,,,results/stage6_6/stage6_6_kp57_4.h5
ladder_total,KP 57.4,matrix,100000,40.5,C0_to_C4b,61561,20568,,,-0.293971,-0.301876,-0.286067,0.821503,0.812687,0.830322,1.11547,1.10682,1.12484,1.09875,,true,,results/stage6_6/stage6_6_kp57_4.h5
ladder_step,KP 57.4,matrix,100000,40.5,head_convention,61561,44247,,,-0.293971,,,0.14471,,,0.438681,0.433186,0.444647,,,,,results/stage6_6/stage6_6_kp57_4.h5
ladder_step,KP 57.4,matrix,100000,40.5,initiation_gate,44247,44224,,,0.14471,,,0.145292,,,0.000582617,0.000354981,0.000835949,,,,,results/stage6_6/stage6_6_kp57_4.h5
ladder_step,KP 57.4,matrix,100000,40.5,temporal,44224,20568,,,0.145292,,,0.821503,,,0.67621,0.668803,0.684587,,,,,results/stage6_6/stage6_6_kp57_4.h5
equal_convention,KP 57.4,matrix,100000,40.5,C1_to_C4b,44247,20568,,,0.14471,,,0.821503,,,0.676793,0.669333,0.685169,,,,,results/stage6_6/stage6_6_kp57_4.h5
ladder_total,KP 57.4,matrix,100000,43.25,C0_to_C4b,99969,96437,,,-3.42271,-3.52638,-3.32633,-1.80382,-1.81856,-1.78912,1.61889,1.53205,1.72725,1.50777,,true,,results/stage6_6/stage6_6_kp57_4.h5
ladder_step,KP 57.4,matrix,100000,43.25,head_convention,99969,99934,,,-3.42271,,,-3.2116,,,0.211115,0.147685,0.295339,,,,,results/stage6_6/stage6_6_kp57_4.h5
ladder_step,KP 57.4,matrix,100000,43.25,initiation_gate,99934,99934,,,-3.2116,,,-3.2116,,,0,0,0,,,,,results/stage6_6/stage6_6_kp57_4.h5
ladder_step,KP 57.4,matrix,100000,43.25,temporal,99934,96437,,,-3.2116,,,-1.80382,,,1.40778,1.34488,1.47935,,,,,results/stage6_6/stage6_6_kp57_4.h5
equal_convention,KP 57.4,matrix,100000,43.25,C1_to_C4b,99934,96437,,,-3.2116,,,-1.80382,,,1.40778,1.34488,1.47935,,,,,results/stage6_6/stage6_6_kp57_4.h5
epistemic_arm,KP 57.4,matrix,1000000,39.21,m_p,2898,3,,,2.7591,,,4.52639,,,1.76728,,,1.5231,966,false,,results/hwl_bias_resolution/stage_d_epistemic.json
epistemic_arm,KP 57.4,matrix,1000000,39.21,k_aq_field_toe,0,0,,,inf,,,,,,,,,,inf,false,,results/hwl_bias_resolution/stage_d_epistemic.json
epistemic_arm,KP 57.4,matrix,1000000,39.21,k_aq_field_geomean,0,0,,,inf,,,,,,,,,,inf,false,,results/hwl_bias_resolution/stage_d_epistemic.json
epistemic_arm,KP 57.4,matrix,1000000,39.21,k_aq_regional_upper,62703,1052,,,1.53247,,,3.07515,,,1.54267,,,1.52075,59.6036,true,,results/hwl_bias_resolution/stage_d_epistemic.json
epistemic_arm,KP 57.4,matrix,1000000,39.21,gamma_bl_sub_lower,1132,5,,,3.05322,,,4.41717,,,1.36395,,,1.15941,226.4,false,,results/hwl_bias_resolution/stage_d_epistemic.json
epistemic_arm,KP 57.4,matrix,1000000,39.21,z_toe_plus0.30m,7,0,,,4.34386,,,,,,,,,-0.0573869,inf,false,,results/hwl_bias_resolution/stage_d_epistemic.json
epistemic_arm,KP 57.4,matrix,1000000,39.21,z_toe_minus0.30m,23957,606,,,1.97813,,,3.23604,,,1.25791,,,1.22979,39.533,true,,results/hwl_bias_resolution/stage_d_epistemic.json
epistemic_arm,KP 57.4,matrix,1000000,39.21,L_dem_clean_median,355,1,,,3.38569,,,4.75342,,,1.36774,,,0.978815,355,false,,results/hwl_bias_resolution/stage_d_epistemic.json
epistemic_arm,KP 57.4,matrix,1000000,39.21,L_dem_all_stations_median,0,0,,,inf,,,,,,,,,,inf,false,,results/hwl_bias_resolution/stage_d_epistemic.json
epistemic_arm,KP 62.0,matrix,1000000,46.39,m_p,4080,150,,,2.64538,,,3.6153,,,0.969923,,,0.917855,27.2,true,,results/hwl_bias_resolution/stage_d_epistemic.json
epistemic_arm,KP 62.0,matrix,1000000,46.39,k_aq_field_toe,82,3,,,3.76885,,,4.52639,,,0.757537,,,0.468538,27.3333,false,,results/hwl_bias_resolution/stage_d_epistemic.json
epistemic_arm,KP 62.0,matrix,1000000,46.39,k_aq_field_geomean,0,0,,,inf,,,,,,,,,,inf,false,,results/hwl_bias_resolution/stage_d_epistemic.json
epistemic_arm,KP 62.0,matrix,1000000,46.39,k_aq_regional_upper,496594,191600,,,0.00853768,,,0.872015,,,0.863478,,,0.85819,2.59183,true,,results/hwl_bias_resolution/stage_d_epistemic.json
epistemic_arm,KP 62.0,matrix,1000000,46.39,gamma_bl_sub_lower,1696,63,,,2.92978,,,3.83415,,,0.904367,,,0.82843,26.9206,true,,results/hwl_bias_resolution/stage_d_epistemic.json
epistemic_arm,KP 62.0,matrix,1000000,46.39,z_toe_plus0.30m,76,2,,,3.78778,,,4.61138,,,0.823603,,,0.490302,38,false,,results/hwl_bias_resolution/stage_d_epistemic.json
epistemic_arm,KP 62.0,matrix,1000000,46.39,z_toe_minus0.30m,12497,901,,,2.2415,,,3.12106,,,0.879567,,,0.85354,13.8701,true,,results/hwl_bias_resolution/stage_d_epistemic.json
epistemic_arm,KP 62.0,matrix,1000000,46.39,L_withdrawn_1998,266,9,,,3.4641,,,4.28836,,,0.824252,,,0.646433,29.5556,false,,results/hwl_bias_resolution/stage_d_epistemic.json
canonical_event,KP 57.4,matrix,100000,39.25,production_event,,,0.00207,0,2.86729,,,inf,,,inf,,,,,false,,docs/decisions/canonical-shape-sensitivity.json
canonical_event,KP 57.4,matrix,100000,39.25,alternate_event,,,0.00207,0,2.86729,,,inf,,,inf,,,,,false,,docs/decisions/canonical-shape-sensitivity.json
canonical_event,KP 58.8,matrix,100000,41,production_event,,,0.72206,0.26273,-0.588972,,,0.634952,,,1.22392,,,,,true,,docs/decisions/canonical-shape-sensitivity.json
canonical_event,KP 58.8,matrix,100000,41,alternate_event,,,0.72206,0.14828,-0.588972,,,1.04384,,,1.63281,,,,,true,,docs/decisions/canonical-shape-sensitivity.json
canonical_event,KP 60.0,matrix,100000,42.75,production_event,,,0.9165,0.31427,-1.38191,,,0.483783,,,1.86569,,,,,true,,docs/decisions/canonical-shape-sensitivity.json
canonical_event,KP 60.0,matrix,100000,42.75,alternate_event,,,0.9165,0.1521,-1.38191,,,1.02747,,,2.40938,,,,,true,,docs/decisions/canonical-shape-sensitivity.json
canonical_event,KP 62.0,matrix,100000,46.5,production_event,,,0.00393,0.00015,2.65803,,,3.6153,,,0.957275,,,,,true,,docs/decisions/canonical-shape-sensitivity.json
canonical_event,KP 62.0,matrix,100000,46.5,alternate_event,,,0.00393,4e-05,2.65803,,,3.9444,,,1.28637,,,,,true,,docs/decisions/canonical-shape-sensitivity.json
