bracket,kind,section,anchor,stage_m_msl,above_attainable_max,p_f_trans_baseline,n_failures_trans_baseline,span_trans,moves_both_branches,cancellation_arm,max_resolved_departure_factor
cov_L,epistemic,KP58.8,lowest_reachable,39.75,False,0.00011,11,unbounded,True,,
cov_L,epistemic,KP58.8,rising_limb,40.0,False,0.00241,241,144,True,,
cov_L,epistemic,KP58.8,design_hwl,41.0,False,0.19736,19736,2.33,True,,
cov_L,epistemic,KP58.8,transition_midpoint,41.75,False,0.51725,51725,1.12,True,,
cov_L,epistemic,KP58.8,grid_top,45.0,False,0.98278,98278,1.05,True,,
cov_L,epistemic,KP60.0,lowest_reachable,41.5,False,1e-05,1,unbounded,True,,
cov_L,epistemic,KP60.0,rising_limb,42.0,False,0.00195,195,62.08,True,,
cov_L,epistemic,KP60.0,design_hwl,42.75,False,0.05579,5579,5.36,True,,
cov_L,epistemic,KP60.0,transition_midpoint,44.25,False,0.50062,50062,1.12,True,,
cov_L,epistemic,KP60.0,grid_top,46.75,False,0.93074,93074,1.10,True,,
cov_L,epistemic,KP62.0,lowest_reachable,46.25,False,1e-05,1,unbounded,True,,
cov_L,epistemic,KP62.0,rising_limb,46.75,False,0.00101,101,708,True,,
cov_L,epistemic,KP62.0,design_hwl,46.5,False,0.00013,13,unbounded,True,,
cov_L,epistemic,KP62.0,transition_midpoint,49.75,False,0.50765,50765,1.12,True,,
cov_L,epistemic,KP62.0,grid_top,56.5,True,0.9888,98880,1.03,True,,
alpha_exponent,epistemic,KP57.4,lowest_reachable,39.5,False,0.00014,14,151,False,,
alpha_exponent,epistemic,KP57.4,rising_limb,39.75,False,0.00295,295,32.71,False,,
alpha_exponent,epistemic,KP57.4,design_hwl,39.25,False,0.0,0,not_defined,False,,
alpha_exponent,epistemic,KP57.4,transition_midpoint,41.25,False,0.4773,47730,1.66,False,,
alpha_exponent,epistemic,KP57.4,grid_top,43.25,False,0.94361,94361,1.04,False,,
alpha_exponent,epistemic,KP58.8,lowest_reachable,39.75,False,0.00011,11,not_measured,False,,
alpha_exponent,epistemic,KP58.8,rising_limb,40.0,False,0.00241,241,not_measured,False,,
alpha_exponent,epistemic,KP58.8,design_hwl,41.0,False,0.19736,19736,not_measured,False,,
alpha_exponent,epistemic,KP58.8,transition_midpoint,41.75,False,0.51725,51725,not_measured,False,,
alpha_exponent,epistemic,KP58.8,grid_top,45.0,False,0.98278,98278,not_measured,False,,
alpha_exponent,epistemic,KP60.0,lowest_reachable,41.5,False,1e-05,1,not_measured,False,,
alpha_exponent,epistemic,KP60.0,rising_limb,42.0,False,0.00195,195,not_measured,False,,
alpha_exponent,epistemic,KP60.0,design_hwl,42.75,False,0.05579,5579,not_measured,False,,
alpha_exponent,epistemic,KP60.0,transition_midpoint,44.25,False,0.50062,50062,not_measured,False,,
alpha_exponent,epistemic,KP60.0,grid_top,46.75,False,0.93074,93074,not_measured,False,,
alpha_exponent,epistemic,KP62.0,lowest_reachable,46.25,False,1e-05,1,538,False,,
alpha_exponent,epistemic,KP62.0,rising_limb,46.75,False,0.00101,101,43.22,False,,
