river,bank,kp,mechanism,scenario,stage_m_msl,p_f
Satsunai,left,3.2,fluvial_scour,historical,32.6,0
Satsunai,left,3.2,fluvial_scour,historical,32.8,0
Satsunai,left,3.2,fluvial_scour,historical,33,0
Satsunai,left,3.2,fluvial_scour,historical,33.2,0
Satsunai,left,3.2,fluvial_scour,historical,33.4,0
Satsunai,left,3.2,fluvial_scour,historical,33.6,0.0007
Satsunai,left,3.2,fluvial_scour,historical,33.8,0.0018
Satsunai,left,3.2,fluvial_scour,historical,34,0.0039
Satsunai,left,3.2,fluvial_scour,historical,34.2,0.0069
Satsunai,left,3.2,fluvial_scour,historical,34.4,0.0101
Satsunai,left,3.2,fluvial_scour,historical,34.6,0.0152
Satsunai,left,3.2,fluvial_scour,historical,34.8,0.0207
Satsunai,left,3.2,fluvial_scour,historical,35,0.0314
Satsunai,left,3.2,fluvial_scour,historical,35.2,0.0418
Satsunai,left,3.2,fluvial_scour,historical,35.4,0.0544
Satsunai,left,3.2,fluvial_scour,historical,35.6,0.0689
Satsunai,left,3.2,fluvial_scour,historical,35.8,0.0894
Satsunai,left,3.2,fluvial_scour,historical,36,0.1107
Satsunai,left,3.2,fluvial_scour,historical,36.2,0.1378
Satsunai,left,3.2,fluvial_scour,historical,36.4,0.1598
Satsunai,left,3.2,fluvial_scour,historical,36.6,0.181
Satsunai,left,3.2,fluvial_scour,historical,36.8,0.197
Satsunai,left,3.2,fluvial_scour,historical,37,0.2103
Satsunai,left,3.2,fluvial_scour,historical,37.2,0.2227
Satsunai,left,3.2,fluvial_scour,historical,37.4,0.2386
Satsunai,left,3.2,fluvial_scour,historical,37.6,0.2522
Satsunai,left,3.2,fluvial_scour,historical,37.8,0.2681
Satsunai,left,3.2,fluvial_scour,historical,38,0.286
Satsunai,left,3.2,fluvial_scour,historical,38.2,0.3037
Satsunai,left,3.2,fluvial_scour,historical,38.4,0.3174
Satsunai,left,3.2,fluvial_scour,historical,38.6,0.3282
Satsunai,left,3.2,fluvial_scour,historical,38.8,0.3349
Satsunai,left,3.2,fluvial_scour,historical,39,0.3412
Satsunai,left,3.2,fluvial_scour,historical,39.2,0.349
Satsunai,left,3.2,fluvial_scour,historical,39.4,0.3536
Satsunai,left,3.2,fluvial_scour,historical,39.6,0.3592
Satsunai,left,3.2,fluvial_scour,historical,39.8,0.3657
Satsunai,left,3.2,fluvial_scour,historical,40,0.3702
Satsunai,left,3.2,fluvial_scour,historical,40.2,0.3748
Satsunai,left,3.2,fluvial_scour,plus4K,32.6,0
Satsunai,left,3.2,fluvial_scour,plus4K,32.8,0
Satsunai,left,3.2,fluvial_scour,plus4K,33,0
Satsunai,left,3.2,fluvial_scour,plus4K,33.2,0
Satsunai,left,3.2,fluvial_scour,plus4K,33.4,0
