river,bank,kp,mechanism,scenario,stage_m_msl,p_f
Satsunai,left,3.4,overflow,plus4K,34.8,0
Satsunai,left,3.4,overflow,plus4K,35,0
Satsunai,left,3.4,overflow,plus4K,35.2,0
Satsunai,left,3.4,overflow,plus4K,35.4,0
Satsunai,left,3.4,overflow,plus4K,35.6,0
Satsunai,left,3.4,overflow,plus4K,35.8,0
Satsunai,left,3.4,overflow,plus4K,36,0
Satsunai,left,3.4,overflow,plus4K,36.2,0
Satsunai,left,3.4,overflow,plus4K,36.4,0
Satsunai,left,3.4,overflow,plus4K,36.6,0
Satsunai,left,3.4,overflow,plus4K,36.8,0
Satsunai,left,3.4,overflow,plus4K,37,0.0003
Satsunai,left,3.4,overflow,plus4K,37.2,0.0053
Satsunai,left,3.4,overflow,plus4K,37.4,0.0299
Satsunai,left,3.4,overflow,plus4K,37.6,0.1223
Satsunai,left,3.4,overflow,plus4K,37.8,0.3269
Satsunai,left,3.4,overflow,plus4K,38,0.5956
Satsunai,left,3.4,overflow,plus4K,38.2,0.8253
Satsunai,left,3.4,overflow,plus4K,38.4,0.9483
Satsunai,left,3.4,overflow,plus4K,38.6,0.9907
Satsunai,left,3.4,overflow,plus4K,38.8,0.9987
Satsunai,left,3.4,overflow,plus4K,39,1
Satsunai,left,3.4,overflow,plus4K,39.2,1
Satsunai,left,3.4,overflow,plus4K,39.4,1
Satsunai,left,3.4,overflow,plus4K,39.6,1
Satsunai,left,3.4,overflow,plus4K,39.8,1
Satsunai,left,3.4,overflow,plus4K,40,1
Satsunai,left,3.4,overflow,plus4K,40.2,1
Satsunai,left,3.4,overflow,plus4K,40.4,1
Satsunai,left,3.6,overflow,historical,34,0
Satsunai,left,3.6,overflow,historical,34.2,0
Satsunai,left,3.6,overflow,historical,34.4,0
Satsunai,left,3.6,overflow,historical,34.6,0
Satsunai,left,3.6,overflow,historical,34.8,0
Satsunai,left,3.6,overflow,historical,35,0
Satsunai,left,3.6,overflow,historical,35.2,0
Satsunai,left,3.6,overflow,historical,35.4,0
Satsunai,left,3.6,overflow,historical,35.6,0
Satsunai,left,3.6,overflow,historical,35.8,0
Satsunai,left,3.6,overflow,historical,36,0
Satsunai,left,3.6,overflow,historical,36.2,0
Satsunai,left,3.6,overflow,historical,36.4,0
Satsunai,left,3.6,overflow,historical,36.6,0
Satsunai,left,3.6,overflow,historical,36.8,0
Satsunai,left,3.6,overflow,historical,37,0
Satsunai,left,3.6,overflow,historical,37.2,0
Satsunai,left,3.6,overflow,historical,37.4,0.0001
Satsunai,left,3.6,overflow,historical,37.6,0.0016
Satsunai,left,3.6,overflow,historical,37.8,0.0104
Satsunai,left,3.6,overflow,historical,38,0.0591
Satsunai,left,3.6,overflow,historical,38.2,0.1935
Satsunai,left,3.6,overflow,historical,38.4,0.4247
Satsunai,left,3.6,overflow,historical,38.6,0.6976
Satsunai,left,3.6,overflow,historical,38.8,0.8866
Satsunai,left,3.6,overflow,historical,39,0.9721
Satsunai,left,3.6,overflow,historical,39.2,0.9964
Satsunai,left,3.6,overflow,historical,39.4,0.9997
Satsunai,left,3.6,overflow,historical,39.6,1
Satsunai,left,3.6,overflow,historical,39.8,1
Satsunai,left,3.6,overflow,historical,40,1
Satsunai,left,3.6,overflow,historical,40.2,1
Satsunai,left,3.6,overflow,historical,40.4,1
Satsunai,left,3.6,overflow,historical,40.6,1
Satsunai,left,3.6,overflow,historical,40.8,1
Satsunai,left,3.6,overflow,historical,41,1
Satsunai,left,3.6,overflow,plus4K,34,0
Satsunai,left,3.6,overflow,plus4K,34.2,0
Satsunai,left,3.6,overflow,plus4K,34.4,0
Satsunai,left,3.6,overflow,plus4K,34.6,0
Satsunai,left,3.6,overflow,plus4K,34.8,0
Satsunai,left,3.6,overflow,plus4K,35,0
Satsunai,left,3.6,overflow,plus4K,35.2,0
Satsunai,left,3.6,overflow,plus4K,35.4,0
Satsunai,left,3.6,overflow,plus4K,35.6,0
Satsunai,left,3.6,overflow,plus4K,35.8,0
Satsunai,left,3.6,overflow,plus4K,36,0
Satsunai,left,3.6,overflow,plus4K,36.2,0
Satsunai,left,3.6,overflow,plus4K,36.4,0
Satsunai,left,3.6,overflow,plus4K,36.6,0
Satsunai,left,3.6,overflow,plus4K,36.8,0
Satsunai,left,3.6,overflow,plus4K,37,0
Satsunai,left,3.6,overflow,plus4K,37.2,0
Satsunai,left,3.6,overflow,plus4K,37.4,0.0001
Satsunai,left,3.6,overflow,plus4K,37.6,0.0016
Satsunai,left,3.6,overflow,plus4K,37.8,0.0104
Satsunai,left,3.6,overflow,plus4K,38,0.0591
Satsunai,left,3.6,overflow,plus4K,38.2,0.1935
Satsunai,left,3.6,overflow,plus4K,38.4,0.4247
Satsunai,left,3.6,overflow,plus4K,38.6,0.6976
Satsunai,left,3.6,overflow,plus4K,38.8,0.8866
Satsunai,left,3.6,overflow,plus4K,39,0.9721
Satsunai,left,3.6,overflow,plus4K,39.2,0.9964
Satsunai,left,3.6,overflow,plus4K,39.4,0.9997
Satsunai,left,3.6,overflow,plus4K,39.6,1
Satsunai,left,3.6,overflow,plus4K,39.8,1
Satsunai,left,3.6,overflow,plus4K,40,1
Satsunai,left,3.6,overflow,plus4K,40.2,1
Satsunai,left,3.6,overflow,plus4K,40.4,1
Satsunai,left,3.6,overflow,plus4K,40.6,1
Satsunai,left,3.6,overflow,plus4K,40.8,1
Satsunai,left,3.6,overflow,plus4K,41,1
Satsunai,left,3.8,overflow,historical,34.4,0
Satsunai,left,3.8,overflow,historical,34.6,0
Satsunai,left,3.8,overflow,historical,34.8,0
Satsunai,left,3.8,overflow,historical,35,0
Satsunai,left,3.8,overflow,historical,35.2,0
Satsunai,left,3.8,overflow,historical,35.4,0
Satsunai,left,3.8,overflow,historical,35.6,0
Satsunai,left,3.8,overflow,historical,35.8,0
Satsunai,left,3.8,overflow,historical,36,0
Satsunai,left,3.8,overflow,historical,36.2,0
Satsunai,left,3.8,overflow,historical,36.4,0
Satsunai,left,3.8,overflow,historical,36.6,0
Satsunai,left,3.8,overflow,historical,36.8,0
Satsunai,left,3.8,overflow,historical,37,0
Satsunai,left,3.8,overflow,historical,37.2,0
Satsunai,left,3.8,overflow,historical,37.4,0
Satsunai,left,3.8,overflow,historical,37.6,0
Satsunai,left,3.8,overflow,historical,37.8,0
Satsunai,left,3.8,overflow,historical,38,0
Satsunai,left,3.8,overflow,historical,38.2,0.0003
Satsunai,left,3.8,overflow,historical,38.4,0.0046
Satsunai,left,3.8,overflow,historical,38.6,0.0243
Satsunai,left,3.8,overflow,historical,38.8,0.1037
Satsunai,left,3.8,overflow,historical,39,0.2843
