river,bank,kp,mechanism,scenario,stage_m_msl,p_f
Satsunai,left,3.4,fluvial_scour,plus4K,36.4,0
Satsunai,left,3.4,overflow,plus4K,36.6,0
Satsunai,left,3.4,fluvial_scour,plus4K,36.6,0
Satsunai,left,3.4,overflow,plus4K,36.8,0.0005
Satsunai,left,3.4,fluvial_scour,plus4K,36.8,0
Satsunai,left,3.4,overflow,plus4K,37,0.0071
Satsunai,left,3.4,fluvial_scour,plus4K,37,0
Satsunai,left,3.4,overflow,plus4K,37.2,0.0381
Satsunai,left,3.4,fluvial_scour,plus4K,37.2,0
Satsunai,left,3.4,overflow,plus4K,37.4,0.1436
Satsunai,left,3.4,fluvial_scour,plus4K,37.4,0
Satsunai,left,3.4,overflow,plus4K,37.6,0.362
Satsunai,left,3.4,fluvial_scour,plus4K,37.6,0
Satsunai,left,3.4,overflow,plus4K,37.8,0.6303
Satsunai,left,3.4,fluvial_scour,plus4K,37.8,0
Satsunai,left,3.4,overflow,plus4K,38,0.8467
Satsunai,left,3.4,fluvial_scour,plus4K,38,0
Satsunai,left,3.4,overflow,plus4K,38.2,0.9567
Satsunai,left,3.4,fluvial_scour,plus4K,38.2,0
Satsunai,left,3.4,overflow,plus4K,38.4,0.9921
Satsunai,left,3.4,fluvial_scour,plus4K,38.4,0
Satsunai,left,3.4,overflow,plus4K,38.6,0.9992
Satsunai,left,3.4,fluvial_scour,plus4K,38.6,0
Satsunai,left,3.4,overflow,plus4K,38.8,1
Satsunai,left,3.4,fluvial_scour,plus4K,38.8,0
Satsunai,left,3.4,overflow,plus4K,39,1
Satsunai,left,3.4,fluvial_scour,plus4K,39,0
Satsunai,left,3.4,overflow,plus4K,39.2,1
Satsunai,left,3.4,fluvial_scour,plus4K,39.2,0
Satsunai,left,3.4,overflow,plus4K,39.4,1
Satsunai,left,3.4,fluvial_scour,plus4K,39.4,0
Satsunai,left,3.4,overflow,plus4K,39.6,1
Satsunai,left,3.4,fluvial_scour,plus4K,39.6,0
Satsunai,left,3.4,overflow,plus4K,39.8,1
Satsunai,left,3.4,fluvial_scour,plus4K,39.8,0
Satsunai,left,3.4,overflow,plus4K,40,1
Satsunai,left,3.4,fluvial_scour,plus4K,40,0
Satsunai,left,3.4,overflow,plus4K,40.2,1
