datetime_jst,kyoeibashi,kumaushi,memurobuto,obihiro,tokachi_chuo_ohashi,chiyoda,moiwa,otsu
2016-08-01T01:00,228.59,,259.95,285.89,367.2,387.96,544.06,
2016-08-01T02:00,228.59,,256.17,283.58,362.22,387.96,540.67,
2016-08-01T03:00,225.34,,241.32,278.99,362.22,379.92,537.3,
2016-08-01T04:00,225.34,,244.99,269.91,357.28,375.93,533.93,
2016-08-01T05:00,225.34,,241.32,263.21,352.37,371.96,527.24,
2016-08-01T06:00,225.34,,237.68,260.99,347.49,368.01,523.91,
2016-08-01T07:00,228.59,,237.68,258.78,342.65,360.18,517.28,
2016-08-01T08:00,228.59,,237.68,256.59,337.84,356.3,513.98,
2016-08-01T09:00,225.34,,234.07,254.4,337.84,352.44,507.41,
2016-08-01T10:00,222.11,,230.48,252.22,333.06,348.6,500.88,
2016-08-01T11:00,212.56,,234.07,250.05,333.06,344.78,497.63,
2016-08-01T12:00,212.56,,230.48,247.89,333.06,368.01,491.17,
2016-08-01T13:00,206.31,,223.39,245.74,333.06,344.78,491.17,
2016-08-01T14:00,197.1,,216.41,245.74,333.06,344.78,487.96,
2016-08-01T15:00,182.23,,216.41,241.46,333.06,348.6,491.17,
2016-08-01T16:00,170.76,,212.96,237.23,333.06,348.6,507.41,
2016-08-01T17:00,179.33,,206.14,233.03,328.32,352.44,530.58,
2016-08-01T18:00,188.11,,199.44,228.87,328.32,360.18,540.67,
2016-08-01T19:00,188.11,,189.59,222.7,323.61,364.09,544.06,
2016-08-01T20:00,179.33,,192.85,216.61,323.61,364.09,544.06,
2016-08-01T21:00,212.56,,202.78,214.6,328.32,360.18,544.06,
2016-08-01T22:00,209.42,,206.14,216.61,337.84,364.09,540.67,
2016-08-01T23:00,203.22,,212.96,220.66,347.49,379.92,537.3,
2016-08-02T00:00,197.1,,244.99,226.8,357.28,392.01,537.3,
2016-08-02T01:00,188.11,,267.6,230.94,362.22,404.29,540.67,
2016-08-02T02:00,185.16,,267.6,250.05,367.2,408.43,544.06,
2016-08-02T03:00,185.16,,252.42,276.7,382.34,408.43,550.86,
2016-08-02T04:00,188.11,,237.68,288.21,403.01,416.76,554.27,
2016-08-02T05:00,191.09,,230.48,295.22,418.86,437.97,561.14,
2016-08-02T06:00,194.08,,226.92,306.76,429.6,450.94,571.51,
2016-08-02T07:00,197.1,,226.92,300.66,435.02,464.11,581.98,
2016-08-02T08:00,200.15,,226.92,292.88,429.6,472.99,596.09,
2016-08-02T09:00,200.15,,223.39,283.58,413.54,472.99,610.37,
2016-08-02T10:00,200.15,,226.92,276.7,403.01,464.11,628.45,
2016-08-02T11:00,238.5,,226.92,272.17,397.79,455.31,643.11,
2016-08-02T12:00,248.61,,230.48,269.91,392.61,442.27,657.94,
2016-08-02T13:00,248.61,,230.48,267.67,387.46,437.97,665.41,
2016-08-02T14:00,245.21,,252.42,267.67,387.46,433.68,665.41,
2016-08-02T15:00,248.61,,259.95,267.67,382.34,429.42,669.17,
2016-08-02T16:00,248.61,,263.76,274.43,382.34,425.18,672.93,
2016-08-02T17:00,248.61,,259.95,285.89,387.46,425.18,676.71,
2016-08-02T18:00,248.61,,263.76,288.21,397.79,420.96,676.71,
2016-08-02T19:00,248.61,,259.95,288.21,397.79,429.42,669.17,
2016-08-02T20:00,248.61,,259.95,288.21,397.79,433.68,665.41,
2016-08-02T21:00,248.61,,259.95,285.89,397.79,433.68,661.67,
2016-08-02T22:00,231.87,,263.76,285.89,392.61,433.68,657.94,
2016-08-02T23:00,203.22,,259.95,285.89,397.79,433.68,650.5,
2016-08-03T00:00,188.11,,259.95,285.89,413.54,429.42,646.8,
2016-08-03T01:00,185.16,,248.69,285.89,429.6,446.6,639.43,
2016-08-03T02:00,188.11,,230.48,283.58,418.86,459.7,639.43,
