River,KP,BankHeight,Average_bh,Sig_bh,HWL,GroundHeight,FloodplaneHeight,RiverbedElevation,CrestWidth,BankGradient,Gradient_WaterSurface,HQ_a,HQ_b
tokachi,58.4,41.96,1.139,0.003,40.46,39.1,38.07,33.60,8,3,675,159.09,-35.23
tokachi,58.6,42.29,0.959,0.001,40.79,38.9,38.52,35.73,8,3,675,165.46,-35.71
tokachi,58.8,42.53,1.847,1.311,41.03,38.441,37.53,34.77,8,3,675,164.64,-35.84
tokachi,59,42.87,1.123,0.435,41.37,38.951,37.96,35.26,8,3,675,164.84,-35.83
tokachi,59.2,43.12,0.792,0.003,41.62,39.32,38.4,36.21,8,3,675,171.01,-36.17
tokachi,59.4,43.36,0.648,0.003,41.86,39.72,38.47,35.68,8,3,675,181.48,-36.5
tokachi,59.6,43.69,0.594,0.002,42.19,39.41,39.07,36.11,8,3,675,191.81,-36.75
tokachi,59.8,44,0.596,0.012,42.5,39.891,39.42,36.82,8,3,675,219.12,-37.23
tokachi,60,44.25,0.860,0.005,42.75,40.55,40.25,37.13,8,3,675,265.42,-37.76
tokachi,60.2,44.63,0.807,0.002,43.13,41.49,40.89,37.25,8,3,675,350.95,-38.61
tokachi,60.4,44.96,0.724,0.002,43.46,41.67,40.89,37.71,8,3,510,330.68,-39.11
tokachi,60.6,45.23,0.704,0.002,43.73,42.12,41.28,37.87,8,3,510,374.56,-39.38
tokachi,60.8,45.57,1.805,0.604,44.07,42.181,41.93,38.39,8,3,510,379.09,-39.8
tokachi,61,45.87,0.683,0.002,44.37,42.54,42.31,38.69,8,3,510,354.43,-40.12
tokachi,61.2,46.18,0.631,0.001,44.68,42.381,42.02,38.55,8,3,510,249.81,-40.06
tokachi,61.4,46.64,0.563,0.001,45.14,42.061,42.77,39.53,8,3,510,189.21,-39.96
tokachi,61.6,47.06,0.713,0.017,45.56,42.971,42.76,39.84,8,3,510,223.77,-40.41
tokachi,61.8,47.33,0.792,0.005,45.83,44.66,43.51,39.79,8,3,510,167.94,-40.69
tokachi,62,47.89,0.751,0.002,46.39,45.73,43.82,40.33,7,3,510,122.74,-40.92
tokachi,62.2,48.08,0.698,0.002,46.58,45.401,44.43,40.79,7,3,510,111.99,-40.93
tokachi,62.4,48.39,0.594,0.002,46.89,44.571,45.05,40.98,7,3,510,115.01,-41.03
tokachi,62.6,48.76,0.564,0.002,47.26,45.511,44.69,41.94,7,3,510,119.46,-41.25
tokachi,62.8,49.17,0.460,0.004,47.67,46.791,45.02,41.03,7,3,510,124.38,-41.66
satsunai,3.2,36.11,1.117,0.005,34.61,32.41,32.72,31.27,7,3,276,460.97,-32.38
satsunai,3.4,36.7,0.786,0.024,35.20,34.081,33.46,31.33,7,3,276,416.72,-32.62
satsunai,3.6,37.39,0.622,0.031,35.89,34.451,34.1,32.78,7,3,276,505.89,-33.4
satsunai,3.8,38.08,0.636,0.006,36.58,34.751,34.57,32.98,7,3,276,570.55,-34.2
satsunai,4,38.74,0.913,0.195,37.24,35.371,35.11,33.42,7,3,314,474.15,-34.72
satsunai,4.2,39.14,0.371,0.003,37.64,36.85,35.49,34.29,7,3,314,580.2,-35.35
satsunai,4.4,39.82,0.302,0.001,38.32,37.121,36.4,34.53,7,3,314,540.61,-35.89
satsunai,4.6,40.56,0.234,0.004,39.06,38.45,37.2,34.68,7,3,314,517.72,-36.29
satsunai,4.8,41.19,0.042,0.002,39.69,39.06,37.73,35.68,7,3,314,568.38,-37.22
satsunai,5,41.8,0.213,0.003,40.30,39.671,38.55,36.92,7,3,314,474.49,-37.36
satsunai,5.2,42.5,0.381,0.004,41.00,40.39,39.24,37.50,7,3,314,371.63,-38.13
satsunai,5.4,43.16,0.517,0.001,41.66,41.16,39.87,38.28,7,3,314,363.76,-38.78
satsunai,5.6,43.67,0.536,0.001,42.17,42.471,40.46,38.66,7,3,314,382.62,-39.38
satsunai,5.8,44.36,0.498,0.023,42.86,42.281,41.18,39.47,7,3,314,273.9,-39.7
satsunai,6,44.94,0.696,0.004,43.44,42.571,41.86,39.87,7,3,314,272.95,-40.35
satsunai,6.2,45.48,1.009,0.005,43.98,43.57,42.7,40.45,7,3,314,243.68,-41.07
satsunai,6.4,46.13,0.917,0.008,44.63,43.821,43.46,41.50,7,3,314,205.58,-41.96
satsunai,6.6,46.84,0.941,0.003,45.34,45.38,44.15,42.95,7,3,314,223.65,-42.63
satsunai,6.8,47.81,0.926,0.004,46.31,45.721,44.78,43.29,7,3,238,654.59,-44.62
satsunai,7,48.55,1.543,0.632,47.05,46.311,45.09,43.18,7,3,238,399.22,-44.67
satsunai,7.2,49.33,0.471,0.011,47.83,49.9,46.06,44.55,7,3,238,421.07,-45.4
satsunai,7.4,50.31,0.340,0.002,48.81,48.52,46.96,45.30,7,3,238,302.64,-45.97
satsunai,7.6,51.12,0.468,0.007,49.62,49.39,47.73,44.76,7,3,238,400.78,-46.8
satsunai,7.8,51.79,0.621,0.007,50.29,50.881,48.48,46.62,7,3,238,470.77,-47.77
satsunai,8,52.4,0.582,0.003,50.90,51.59,48.94,47.26,7,3,238,311.89,-48.1
satsunai,8.2,53.14,0.527,0.004,51.64,51.29,49.7,47.66,7,3,238,370.39,-48.51
satsunai,8.4,54.05,0.373,0.002,52.55,52.261,50.64,49.13,7,3,238,293.41,-49.28
satsunai,8.6,54.65,0.440,0.003,53.15,52.8,51.2,49.64,7,3,238,287.06,-49.68
satsunai,8.8,55.22,0.319,0.004,53.72,53.61,51.77,50.39,7,3,238,441.43,-50.47
satsunai,9,56.36,0.246,0.003,54.86,54.301,53.35,51.59,7,3,238,398.13,-51.95
satsunai,9.2,57.21,0.299,0.001,55.71,55.201,53.67,52.03,7,3,238,176.25,-51.92
satsunai,9.4,58.12,0.923,0.770,56.62,55.7,54.28,52.57,7,3,238,287.47,-52.97
satsunai,9.6,59.08,0.711,0.116,57.58,57.3,55.15,53.69,7,3,238,254.46,-54
satsunai,9.8,59.98,0.595,0.001,58.48,57.681,56.07,54.39,7,3,238,181.74,-54.56
satsunai,10,60.58,0.673,0.002,59.08,58.191,56.47,54.69,7,3,238,114.94,-54.55
satsunai,10.2,61.38,0.710,0.001,59.88,58.851,57.72,55.86,7,3,238,117.49,-55.12
satsunai,10.4,62.06,0.607,0.002,60.56,59.311,58.33,56.65,7,3,238,159.58,-56.13
satsunai,10.6,62.53,0.791,0.005,61.03,59.801,58.99,57.54,7,3,238,229.58,-56.92
satsunai,10.8,63.63,0.917,0.002,62.13,60.911,61.48,58.73,7,3,238,664.43,-59.39
satsunai,11,64.24,0.562,0.027,62.74,61.55,61.72,59.23,7,3,238,343.02,-59.4
satsunai,11.2,65.22,0.599,0.002,63.72,62.261,61.61,60.00,7,3,238,294.86,-60.24
satsunai,11.4,65.84,0.624,0.006,64.34,63.58,62.32,60.87,7,3,238,264.02,-60.75
satsunai,11.6,66.49,0.820,0.001,64.99,64.29,62.94,61.46,7,3,238,264.46,-61.46
satsunai,11.8,67.07,0.744,0.006,65.57,64.6,63.64,62.29,7,3,238,385.75,-62.22
satsunai,12,67.84,0.620,0.012,66.34,65.92,64.31,63.15,7,3,238,365.76,-63.25
satsunai,12.2,69.01,0.784,0.054,67.51,66.591,66.33,64.17,7,3,238,304.5,-64.24
satsunai,12.4,69.84,0.958,0.022,68.34,67.68,66.94,64.75,7,3,238,360.63,-65.24
satsunai,12.6,70.64,1.111,0.014,69.14,68.82,67.43,65.87,7,3,238,262.87,-65.98
satsunai,12.8,71.35,0.972,0.003,69.85,71.93,69.09,66.62,7,3,238,300.99,-66.73
satsunai,13,72.18,0.793,0.006,70.68,70.18,69.69,67.31,7,3,215,286.35,-67.58
satsunai,13.2,72.91,0.654,0.005,71.41,70.45,70.17,67.92,7,3,215,184.03,-67.76
satsunai,13.4,73.87,0.539,0.001,72.37,70.72,71.13,68.49,7,3,215,247.3,-68.64
satsunai,13.6,74.33,0.503,0.004,72.83,71.46,71.1,69.38,7,3,215,205.1,-69.15
satsunai,13.8,74.98,0.550,0.004,73.48,72.56,71.65,70.05,7,3,215,143.13,-69.79
satsunai,14,75.78,0.447,0.006,74.28,73.21,72.34,70.93,7,3,215,193.81,-70.56
satsunai,14.2,76.8,0.608,0.008,75.30,74.351,73.43,72.09,7,3,215,329.19,-72.23
satsunai,14.4,77.81,0.600,0.005,76.31,75.29,74.71,72.43,7,3,215,244.95,-73.02
satsunai,14.6,78.7,0.793,0.009,77.20,76.59,75.54,73.34,7,3,215,173.82,-73.57
satsunai,14.8,79.69,0.963,0.024,78.19,77.64,76.57,73.85,7,3,215,139.61,-73.69
satsunai,15,80.72,1.330,0.591,79.22,78.99,77.84,74.30,7,3,215,141.52,-74.71
satsunai,15.2,81.37,0.809,0.003,79.87,79.07,78.41,75.38,7,3,215,58.98,-74.06
satsunai,15.4,82.32,0.725,0.006,80.82,79.551,79.32,76.59,7,3,215,70.27,-74.92
satsunai,15.6,83.31,0.656,0.001,81.81,80.54,80.02,76.58,7,3,215,183.31,-77.23
satsunai,15.8,84.37,0.759,0.002,82.87,82.27,81.34,78.31,7,3,215,282.32,-79.06
satsunai,16,84.93,0.669,0.003,83.43,82.04,81.95,78.76,7,3,215,111.5,-78.42
satsunai,16.2,85.93,0.766,0.005,84.43,83.39,83.39,80.33,7,3,215,141.58,-79.52
satsunai,16.4,87.01,0.898,0.005,85.51,87.54,82.05,81.26,7,3,215,283.15,-81.62
satsunai,16.6,87.61,0.912,0.001,86.11,84.65,82.67,81.32,7,3,215,171.81,-81.51
satsunai,16.8,nan,nan,nan,87.08,nan,nan,82.28,nan,nan,215,239.41,-82.33
satsunai,17,nan,nan,nan,87.78,nan,nan,83.13,nan,nan,215,259.87,-83.21
satsunai,17.2,nan,nan,nan,88.99,nan,nan,83.96,nan,nan,215,154.42,-83.66
